stress,l1_angle,edge,ring,tsne,index
45.537064,24.873983,0.0790046,54.716034,0.19425,10114
968.4218,162.05737,0.31812704,676.19934,0.33061573,10115
28.973675,38.351585,0.23239021,47.209534,0.15280452,10116
488.64026,79.78652,0.30215573,269.93677,0.32702178,10117
357.20538,120.46981,0.18177068,299.83954,0.21370767,10118
203.28311,71.164055,0.21445918,187.77155,0.29862535,10119
94.8827,80.81739,0.19264331,122.01474,0.220707,10120
48.881313,52.96427,0.11119889,74.35416,0.17997509,10121
72.817,61.540806,0.15810248,93.05936,0.14085601,10122
22.542473,15.690246,0.10701346,40.76597,0.18068485,10123
4.669405,18.536278,0.08838184,20.278545,0.049462114,10124
870.245,130.09657,0.2786575,582.64435,0.35450858,10125
848.70374,152.35425,0.27390712,580.0768,0.35287607,10126
18.83292,30.905449,0.2182885,34.527626,0.19720149,10127
117.36762,63.71422,0.15565363,137.31409,0.20673966,10128
785.40894,144.67389,0.22220856,577.2645,0.33576372,10129
577.06195,106.063324,0.23821181,384.25473,0.29492587,10130
271.91907,91.04328,0.19085744,246.34912,0.24577205,10131
188.86987,88.67607,0.2071428,207.44504,0.21103066,10132
448.3214,121.55735,0.22170693,367.93106,0.29449588,10133
1395.9819,167.58376,0.30685866,858.0393,0.3993698,10134
93.39151,69.42915,0.13493119,123.66884,0.16530654,10135
17.981583,32.603767,0.09940407,43.6924,0.15586495,10136
13.785823,24.353691,0.077114806,36.392,0.09570883,10137
378.47302,105.370865,0.2417914,278.3664,0.29209253,10138
560.0238,125.36018,0.2328571,384.6911,0.32826954,10139
92.51906,66.593,0.15593487,106.876114,0.19269133,10140
5.492832,8.026968,0.054798283,16.45711,0.108619064,10141
435.5957,94.78555,0.2370876,285.29022,0.2948637,10142
1019.74066,220.51425,0.3667036,728.76514,0.3096677,10143
1279.645,192.95615,0.39280015,874.8522,0.33256894,10144
488.0039,143.44553,0.27163363,402.32346,0.2625583,10145
193.0547,67.72251,0.2782387,173.8303,0.25353357,10146
554.3668,104.619,0.23654133,395.69562,0.3107848,10147
1184.856,178.73666,0.31642625,737.1748,0.35166538,10148
14.853859,22.065773,0.043240868,31.726994,0.13909248,10149
19.962954,30.574495,0.12391053,41.867733,0.11924951,10150
15.702788,29.570679,0.16587254,34.213875,0.14919429,10151
386.9961,123.49217,0.21611586,303.32672,0.27828953,10152
167.50699,74.40243,0.20908439,174.88283,0.2102701,10153
711.9485,121.62893,0.2614348,422.3946,0.3593936,10154
29.77927,41.530952,0.13608831,63.25567,0.14325996,10155
141.97499,64.62783,0.16832097,162.07544,0.20817228,10156
204.23758,112.9523,0.21877864,206.1243,0.23393875,10157
