stress,l1_angle,edge,ring,tsne,index
342.88126,112.04133,1.1659428,158.76868,0.27881253,10188
830.63385,146.94829,0.21232478,516.7174,0.26387274,10189
431.1982,103.15072,1.4958583,205.38364,0.28812125,10190
481.11343,96.6542,1.7189708,216.17398,0.2980386,10191
747.68677,121.59756,1.5570105,342.24268,0.2788412,10192
347.01553,84.16186,1.1462015,196.82977,0.22160906,10193
404.2165,122.67154,1.4165202,216.70517,0.2747283,10194
1617.7272,227.62648,0.6204958,885.4524,0.35267884,10195
1583.8374,190.72455,1.4798203,671.6122,0.3334906,10196
1142.1923,153.71115,1.9742391,474.73938,0.31491005,10197
483.61877,129.00333,0.24396046,309.25635,0.21165907,10198
355.59726,104.05583,0.89730036,201.32892,0.44232565,10199
183.57104,105.05884,0.3148153,187.10883,0.17876104,10200
550.2935,132.19684,0.47336614,339.7711,0.24852172,10201
314.67807,102.984146,0.74202573,202.15352,0.22271512,10202
1358.8241,170.7346,1.0959647,587.4637,0.2851467,10203
34.395737,39.634647,0.32965696,33.628384,0.19170263,10204
108.989395,57.221367,0.6104187,80.142654,0.27177978,10205
443.77304,116.00732,0.34940916,317.62662,0.2236884,10206
342.35526,121.21945,0.8947123,169.57776,0.26298782,10207
514.1357,105.86845,0.74433136,277.22476,0.2274339,10208
774.19495,137.99277,0.6805417,408.62448,0.25513375,10209
264.25928,75.438705,0.916454,171.58931,0.34427187,10210
545.91046,123.23729,0.19466746,419.95905,0.2480106,10211
