index,stress,l1_angle,edge,ring,tsne,xing
10288,273.8141,115.5327,0.119059116,260.53748,0.2254891712596256,45.0
10289,342.29846,91.633644,0.12387309,275.2619,0.2497180714823045,36.0
10290,552.0153,166.50697,0.13630643,478.4955,0.2669303070300745,120.0
10291,12.031958,23.818642,0.04029276,30.668894,0.0954879924077004,1.0
10292,60.20851,44.766342,0.05783864,78.74428,0.1360546664644777,3.0
10293,5.6460047,26.971943,0.02640123,26.876612,0.0827480017556083,1.0
10294,1026.8531,210.15257,0.20012285,792.0127,0.2928249078039218,209.0
10295,673.17194,143.09033,0.15312348,514.8533,0.2599072787272717,101.0
10296,97.20623,64.22386,0.06536551,130.0292,0.1681794818313529,11.0
10297,8.363039,32.645863,0.03629554,35.77883,0.0724916828276935,3.0
10298,21.73586,10.523751,0.03554172,53.406654,0.102880904627011,0.0
10299,861.30994,161.57193,0.18315852,598.647,0.3080075294678556,137.0
10300,10.717599,18.65444,0.03016787,32.91323,0.0951749009135667,1.0
10301,0.7773473,2.2144535,0.009377341,12.541324,0.0389108253871108,0.0
10302,17.560818,22.84676,0.026441274,47.610313,0.0913234464340922,1.0
10303,325.9423,106.586044,0.1098823,301.35452,0.2312075417140236,50.0
10304,198.62042,94.352455,0.08314862,198.38934,0.2048135245392077,19.0
10305,775.6365,143.1749,0.15133402,462.51593,0.2779391054424437,58.0
10306,501.59888,127.95117,0.13802025,350.10104,0.2754082713749964,50.0
10307,137.55273,53.69933,0.10429232,157.19289,0.1982637554529118,21.0
10308,217.28879,80.40237,0.07963217,244.71498,0.1967755192011656,35.0
10309,26.975443,48.826878,0.050828833,59.164658,0.113461393219439,5.0
10310,754.93884,170.42513,0.131947,525.0222,0.2605640866065205,83.0
10311,329.52716,126.762344,0.11200696,349.8882,0.2391363504200593,90.0
10312,8.4388485,31.567085,0.03218265,29.909443,0.0609559642590229,1.0
10313,63.247185,34.784565,0.07421744,90.52085,0.1276013140376922,3.0
10314,302.3926,122.03272,0.12719472,317.24335,0.2325700209564078,88.0
10315,27.613697,23.560022,0.044817522,47.081932,0.1163262377433065,1.0
10316,114.22871,65.68672,0.07307723,143.93214,0.1751080771088067,15.0
10317,238.76479,111.345406,0.12797865,242.04103,0.2331982230018992,55.0
10318,11.396166,38.197178,0.05350716,36.179256,0.0836356264548403,5.0
10319,40.646584,47.206417,0.051638123,72.21098,0.094433712589713,2.0
10320,359.03235,84.765396,0.080891006,243.46603,0.2235817052084528,17.0
10321,787.77594,148.59908,0.14500771,550.59454,0.2920830266803724,76.0
10322,135.081,54.935562,0.07715114,144.82637,0.1756567505042595,10.0
10323,105.76567,64.77814,0.075600445,124.5215,0.1781448197193524,10.0
10324,195.8381,95.948006,0.08781736,182.05177,0.1795174724359175,15.0
10325,4.85859,12.0002365,0.02103069,22.61033,0.0480217019672396,0.0
10326,90.02267,60.310963,0.06575908,102.2703,0.1564949874359797,5.0
10327,5.934239,26.811274,0.035140462,20.581419,0.0817268235826641,1.0
10328,306.27356,96.84532,0.10757576,271.8222,0.2243902905438849,29.0
10329,66.93113,54.316597,0.06730745,119.83827,0.1348847531402434,16.0
10330,91.35769,51.60901,0.06956164,115.42241,0.1603698597497833,8.0
10331,729.20636,160.184,0.13326466,554.77795,0.2695776498118423,105.0
10332,110.97149,60.248547,0.050618537,149.99812,0.1408162358197151,10.0
10333,7.1149607,22.16591,0.0362833,26.798271,0.0988581170300438,0.0
10334,528.5626,149.38312,0.12514436,522.54376,0.2206504038373455,81.0
10335,365.64304,110.512245,0.11668484,346.81754,0.2395363592413198,62.0
10336,507.809,129.65851,0.1320037,392.2251,0.2717171285722631,81.0
10337,201.82318,104.140114,0.1123594,226.5085,0.2034983141394679,41.0
10338,102.5286,64.35494,0.08580566,142.28613,0.1718710201873248,16.0
10339,89.481155,56.889633,0.06075222,120.85482,0.1507618516024011,9.0
10340,757.4048,149.84593,0.18418382,508.32162,0.3191864225232243,114.0
10341,4.697479,30.58253,0.036473624,23.531845,0.0691570605310056,2.0
10342,219.03232,91.17354,0.088880524,199.29463,0.1876526755633985,10.0
10343,11.99346,29.11436,0.043938123,35.090973,0.0894698766677432,2.0
10344,74.69542,49.555527,0.062310632,102.8567,0.1583533111491588,11.0
10345,82.06379,57.9215,0.069945715,121.593056,0.1457645323432671,12.0
10346,138.95724,85.79987,0.10706156,167.79828,0.1973492463497584,30.0
10347,988.9067,182.88248,0.1699958,676.27466,0.3009135355299714,156.0
10348,27.982685,44.814835,0.054873742,63.673225,0.1323317761930416,13.0
10349,830.50995,170.7478,0.1691316,656.6842,0.2826199003052419,161.0
10350,388.80557,127.9999,0.11911829,331.7639,0.2343742531848869,46.0
10351,275.30356,94.845955,0.10876161,251.90913,0.2249396826457908,32.0
10352,457.74048,118.53651,0.101389855,344.0455,0.2327439984692329,49.0
10353,46.0379,39.109383,0.07488576,71.49338,0.1322822331573187,6.0
10354,342.76105,100.65479,0.124810204,268.2149,0.2328273348131995,30.0
10355,716.59863,168.24132,0.15177098,575.8249,0.264205355625531,114.0
10356,158.83696,69.06024,0.08378598,193.46992,0.1842400598936899,20.0
10357,655.6095,142.63998,0.14870368,411.67163,0.2774657340892044,50.0
10358,617.9921,127.85856,0.099755555,424.4251,0.2489386501277226,39.0
10359,25.44737,30.750006,0.059801873,47.136353,0.135240071640412,1.0
10360,300.1041,94.38011,0.11213735,241.55948,0.26411927116579,38.0
10361,39.867104,28.112799,0.061360933,56.98994,0.1195817233195725,3.0
10362,43.300335,33.46209,0.059637602,65.685974,0.1503473596993445,4.0
10363,292.97473,89.815254,0.11717557,271.5428,0.2111644089906434,30.0
10364,10.700947,33.951435,0.039794248,33.60362,0.0969131576628278,4.0
10365,10.927562,32.215004,0.03772595,34.6714,0.0910871056302665,2.0
10366,88.132286,54.22727,0.079492696,102.96881,0.1885213567135683,9.0
