index,file,n,m,proc_time,pred_time,gt_stress,pred_stress,spc,mean_deg,max_deg,name,gviz_time
148,data/new_large_graph/G6.mtx,800,19176,5.3110225200653085,0.11731886863708495,129981.5546875,260688.59375,0.501391477019696,47.94,67,G6,3.095850944519043
149,data/new_large_graph/G7.mtx,800,19176,5.311705589294434,0.11714529991149902,129959.0390625,200154.546875,0.3507065360665442,47.94,66,G7,3.3285024166107178
150,data/new_large_graph/G3.mtx,800,19176,5.357859611511231,0.12746953964233398,130403.59375,214859.0,0.3930736261920608,47.94,69,G3,3.0082550048828125
151,data/new_large_graph/G2.mtx,800,19176,5.243282079696655,0.11683893203735353,129959.0390625,208958.96875,0.3780643164544714,47.94,66,G2,3.332534074783325
152,data/new_large_graph/G1.mtx,800,19176,5.3981335163116455,0.1173880100250244,129981.5546875,227327.140625,0.4282180546936177,47.94,67,G1,3.113874673843384
153,data/new_large_graph/bcsstk19.mtx,817,3835,3.73442006111145,0.1474602222442627,5407.5068359375,290681.03125,0.9813971114224967,9.388004895960831,12,bcsstk19,3.704930305480957
154,data/new_large_graph/bp_0.mtx,822,3261,3.4950242042541504,0.1628432273864746,92772.796875,281335.34375,0.6702412301333895,7.934306569343065,267,bp_0,3.4818315505981445
155,data/new_large_graph/bp_1400.mtx,822,4765,3.983341693878174,0.14940476417541504,103284.734375,307838.375,0.6644838890700355,11.59367396593674,312,bp_1400,3.5919342041015625
156,data/new_large_graph/bp_200.mtx,822,3790,3.594013929367065,0.14894843101501465,96939.5,300177.53125,0.6770594401375603,9.221411192214113,284,bp_200,3.5649054050445557
157,data/new_large_graph/bp_1600.mtx,822,4815,3.772993564605713,0.1494741439819336,101433.3125,308406.75,0.6711054070638856,11.715328467153284,305,bp_1600,3.6045241355895996
158,data/new_large_graph/bp_600.mtx,822,4159,3.691948413848877,0.14868664741516113,100208.375,306282.0625,0.6728232329962189,10.119221411192214,303,bp_600,3.632323980331421
159,data/new_large_graph/bp_1200.mtx,822,4704,3.890669345855713,0.1557619571685791,103359.984375,310385.8125,0.6669951389128007,11.445255474452555,312,bp_1200,3.6194231510162354
160,data/new_large_graph/bp_1000.mtx,822,4639,3.7260429859161377,0.14889931678771973,101383.078125,307290.71875,0.6700743890430306,11.287104622871047,309,bp_1000,3.5977156162261963
161,data/new_large_graph/bp_400.mtx,822,4017,3.6112787723541264,0.14968299865722656,99575.453125,304399.375,0.6728789172940975,9.773722627737227,296,bp_400,3.56548810005188
162,data/new_large_graph/bp_800.mtx,822,4522,3.833848714828491,0.14910316467285156,103514.4375,307572.65625,0.6634472037856909,11.002433090024333,305,bp_800,3.4916789531707764
163,data/new_large_graph/goddardRocketProblem_1.mtx,831,4457,3.6437664031982417,0.15245389938354492,57072.1875,71658.8828125,0.2035573921891444,10.726835138387486,285,goddardRocketProblem_1,2.9229114055633545
164,data/new_large_graph/can_838.mtx,838,5424,3.9038884639739986,0.15376615524291992,34340.72265625,395085.3125,0.9130802346486874,12.94510739856802,33,can_838,1.3083374500274658
165,data/new_large_graph/ex22.mtx,839,11777,4.503845691680908,0.1689753532409668,12856.857421875,369913.8125,0.9652436405794526,28.073897497020262,63,ex22,3.6820597648620605
166,data/new_large_graph/young1c.mtx,841,2465,3.712342977523804,0.1551651954650879,8662.615234375,255309.375,0.9660701247873292,5.862068965517241,6,young1c,1.0431225299835205
167,data/new_large_graph/young2c.mtx,841,2465,3.804994821548462,0.1550276279449463,8662.615234375,264597.375,0.9672611444676086,5.862068965517241,6,young2c,1.0441696643829346
168,data/new_large_graph/young3c.mtx,841,2512,3.750664949417114,0.15511012077331546,7734.4130859375,259960.640625,0.9702477534008904,5.9738406658739605,9,young3c,1.194915533065796
169,data/new_large_graph/young4c.mtx,841,2465,3.7587871551513667,0.15489602088928225,8662.615234375,272597.4375,0.9682219491356188,5.862068965517241,6,young4c,1.049710750579834
170,data/new_large_graph/Vehicle_10NN.mtx,846,5447,4.2824482917785645,0.1572425365447998,16816.240234375,50535.75,0.6672407110931371,12.87706855791962,26,Vehicle_10NN,3.1689767837524414
171,data/new_large_graph/ex25.mtx,848,12730,4.729046583175659,0.17049312591552734,40843.4296875,29766.44140625,-0.27120612460809274,30.02358490566038,63,ex25,2.291024684906006
172,data/new_large_graph/goddardRocketProblem_2.mtx,867,4746,3.932277202606201,0.16874361038208008,61348.84375,113472.1875,0.4593490695682587,10.948096885813149,285,goddardRocketProblem_2,3.4085805416107178
